	Agalychnis_lemur	Allobates_talamancae	Atelopus_zeteki	Bolitoglossa_colonnea	Bolitoglossa_schizodactyla	Cochranella_euknemos	Cochranella_granulosa	Colostethus_inguinalis	Colostethus_sp.	Craugastor_azueroensis	Craugastor_bransfordii	Craugastor_crassidigitus	Craugastor_gollmeri	Craugastor_megacephalus	Craugastor_noblei	Craugastor_punctariolus	Craugastor_sp.	Craugastor_tabasarae	Craugastor_talamancae	Dendrobates_auratus	Dendrobates_vicente	Diasporus_diastema	Diasporus_diastema_orange	Diasporus_peep	Diasporus_vocator	Ecnomiohyla_miliaria	Eleutherodactylus_podi-noblei	Eleutherodactylus_spp	Engystomops_pustulosus	Espadarana_prosoblepon	Gastrotheca_cornuta	Hyalinobatrachium_chirripoi	Hyalinobatrachium_colymbiphyllum	Hyalinobatrachium_talamancae	Hyalinobatrachium_vireovittatum	Hyloscirtus_colymba	Hyloscirtus_palmeri	Incilus_coniferus	Leptodactylus_mystacinus	Leptodactylus_pentadactylus	Lithobates_warszewitschii	Nelsonophryne_aterrima	Phyllobates_lugubris	Pristimantis_caryophyllaceus	Pristimantis_cerasinus	Pristimantis_cruentus	Pristimantis_cruentus_masonii	Pristimantis_gaigei	Pristimantis_museosus	Pristimantis_pardalis	Pristimantis_ridens	Ranitomeya_minutus	Rhaebo_haematiticus	Rhinella_marina	Sachatamia_albomaculata	Sachatamia_ilex	Silverstoneia_flotator	Silverstoneia_nubicola	Smilisca_phaeota	Strabomantis_bufoniformis	Teratohyla_spinosa
59	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	0	0.1625	0	0.0625	0.025	0	0	0	0.0375	0	0	0	0	0	0.125	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0.1375	0	0.025	0.075	0	0	0	0	0	0	0.0125	0	0	0	0	0	0.2125	0	0	0	0	0	0	0.0125	0	0.0875	0.0125	0	0	0	0	0
61	0	0	0.095890411	0	0.04109589	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054794521	0	0	0	0	0	0	0	0.01369863	0	0	0.164383562	0.02739726	0	0.068493151	0	0	0	0.04109589	0	0	0	0	0	0	0	0	0.410958904	0	0	0	0	0.02739726	0	0	0	0	0.01369863	0	0	0	0.02739726	0.01369863
62	0	0	0.046153846	0	0.061538462	0	0	0	0	0.015384615	0	0	0	0	0	0.030769231	0	0	0.030769231	0	0	0	0	0	0	0	0	0	0	0.507692308	0	0.046153846	0.107692308	0	0	0.015384615	0	0	0	0	0	0	0	0	0	0.092307692	0	0	0	0	0	0	0	0	0	0.015384615	0	0	0	0.030769231	0
63	0	0	0.040816327	0	0.020408163	0	0	0	0	0.040816327	0.010204082	0	0	0.010204082	0	0.112244898	0	0.020408163	0.010204082	0	0	0	0	0	0	0	0.030612245	0	0	0.153061224	0.010204082	0.030612245	0.040816327	0	0	0.020408163	0	0	0	0	0	0	0	0	0	0.408163265	0	0	0	0	0	0	0.010204082	0	0.020408163	0	0	0	0	0.010204082	0
64	0	0	0.14	0	0.02	0	0	0	0.8	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	0	0	0.01	0	0	0	0	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	0	0	0	0	0	0	0	0.010989011	0.978021978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010989011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	0	0.028169014	0	0	0	0	0	0.929577465	0	0.028169014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014084507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	0	0	0.064516129	0	0	0	0	0	0	0.032258065	0	0	0	0	0	0.064516129	0	0	0.032258065	0	0	0	0.032258065	0	0	0	0	0	0	0.161290323	0.032258065	0	0.032258065	0	0	0.032258065	0	0	0	0	0	0	0	0	0	0.451612903	0	0	0	0	0	0	0	0	0	0.064516129	0	0	0	0	0
