	S/T	Year	DiseaseStatus	Trans	Disease2
59	S	2004	Pre-Epi	Loop_	Pre-Epi
60	S	2004	Pre-Epi	Guabal	Pre-Epi
61	S	2004	Pre-Epi	Silenciosa	Pre-Epi
62	S	2004	Pre-Epi	Loop_	Pre-Epi
63	S	2004	Pre-Epi	Quebrada_Cascada	Pre-Epi
64	S	2004	Pre-Epi	Guabal	Pre-Epi
65	S	2004	Pre-Epi	Quebrada_Cascada	Pre-Epi
66	S	2004	Pre-Epi	Loop_	Pre-Epi
67	S	2004	Pre-Epi	Silenciosa	Pre-Epi
68	S	2004	Pre-Epi	Loop_	Pre-Epi
69	S	2004	Pre-Epi	Quebrada_Cascada	Pre-Epi
70	S	2004	Pre-Epi	Guabal	Pre-Epi
71	S	2004	Pre-Epi	Silenciosa	Pre-Epi
72	S	2004	Pre-Epi	Guabal	Pre-Epi
73	S	2004	Pre-Epi	Quebrada_Cascada	Pre-Epi
90	S	2004	Epizootic	Silenciosa	Epizootic
91	S	2004	Epizootic	Loop_	Epizootic
92	S	2004	Epizootic	Quebrada_Cascada	Epizootic
93	S	2004	Epizootic	Quebrada_Cascada	Epizootic
94	S	2004	Epizootic	Guabal	Epizootic
95	S	2004	Epizootic	Loop_	Epizootic
96	S	2004	Epizootic	Silenciosa	Epizootic
97	S	2004	Epizootic	Guabal	Epizootic
98	S	2004	Epizootic	Guabal	Epizootic
99	S	2004	Epizootic	Quebrada_Cascada	Epizootic
100	S	2004	Epizootic	Loop_	Epizootic
101	S	2004	Epizootic	Silenciosa	Epizootic
102	S	2004	Epizootic	Guabal	Epizootic
103	S	2004	Epizootic	Quebrada_Cascada	Epizootic
104	S	2004	Epizootic	Quebrada_Cascada	Epizootic
105	S	2004	Epizootic	Guabal	Epizootic
106	S	2004	Epizootic	Loop_	Epizootic
107	S	2004	Epizootic	Silenciosa	Epizootic
108	S	2004	Epizootic	Loop_	Epizootic
109	S	2004	Epizootic	Loop_	Epizootic
110	S	2004	Epizootic	Silenciosa	Epizootic
111	T	2004	Epizootic	Loop_	Epizootic
112	T	2004	Epizootic	Loop_Trail	Epizootic
113	S	2004	Epizootic	Guabal	Epizootic
114	S	2004	Epizootic	Quebrada_Cascada	Epizootic
115	S	2004	Epizootic	Quebrada_Cascada	Epizootic
116	S	2004	Epizootic	Loop	Epizootic
117	S	2004	Epizootic	Silenciosa	Epizootic
118	S	2004	Epizootic	Guabal	Epizootic
119	S	2004	Epizootic	Guabal	Epizootic
120	S	2004	Epizootic	Quebrada_Cascada	Epizootic
121	T	2004	Epizootic	Main_Trail	Epizootic
122	S	2004	Epizootic	Loop	Epizootic
123	S	2004	Epizootic	Silenciosa	Epizootic
124	T	2004	Epizootic	Loop	Epizootic
125	S	2004	Epizootic	Silenciosa	Epizootic
126	T	2004	Epizootic	Loop	Epizootic
127	T	2004	Epizootic	Loop_Trail	Epizootic
128	S	2004	Epizootic	Guabal	Epizootic
129	S	2004	Epizootic	Quebrada_Cascada	Epizootic
130	S	2004	Epizootic	Guabal	Epizootic
131	S	2004	Epizootic	Silenciosa	Epizootic
132	S	2004	Epizootic	Loop	Epizootic
133	S	2004	Epizootic	Quebrada_Cascada	Epizootic
134	S	2004	Epizootic	Quebrada_Cascada	Epizootic
135	S	2004	Epizootic	Guabal	Epizootic
136	T	2004	Epizootic	Main_Trail	Epizootic
137	S	2004	Epizootic	Guabal	Epizootic
138	S	2004	Epizootic	Loop	Epizootic
139	S	2004	Epizootic	Silenciosa	Epizootic
