Species	Abundance	Infection	Shedding	pi	N	Year
Agalychnis_lemur	0.646	0.949	0.151	0.002	18	2004
Atelopus_varius	3.179	1.508	3.327	0.326	160	2004
Bolitoglossa_colonnea	0.327	0.424	0.002	0	4	2004
Bolitoglossa_schizodactyla	0.638	0.576	0.01	0	47	2004
Cochranella_euknemos	0.117	0.847	0.001	0	4	2004
Colostethus__panamansis	0.753	1.525	0.585	0.014	20	2004
Colostethus__pratti	0.008	0.847	0.001	0	2	2004
Craugastor_azueroensis	0.03	0.847	0.004	0	2	2004
Craugastor_bransfordii	0.343	1.695	0.153	0.002	2	2004
Craugastor_crassidigitus	2.873	0.644	0.021	0.001	55	2004
Craugastor_gollmeri	0.685	0.424	0.009	0	8	2004
Craugastor_megacephalus	0.257	0.424	0	0	4	2004
Craugastor_punctariolus	2.518	0	0	0	2	2004
Craugastor_talamancae	1.853	0.746	0.15	0.004	54	2004
Dendrobates_auratus	0.086	1.695	0.208	0.001	2	2004
Diasporus_diastema	0.063	0.508	0	0	10	2004
Diasporus_vocator	0	0	0	0	1	2004
Espadarana_prosoblepon	4.739	0.814	0.11	0.009	109	2004
Gastrotheca_cornuta	0.291	1.695	0.031	0	2	2004
Hyalinobatrachium_colymbiphyllum	2.274	0.949	0.329	0.015	32	2004
Hyloscirtus_colymba	0.773	1.356	0.764	0.016	20	2004
Hyloscirtus_palmeri	0.914	1.254	0.233	0.005	19	2004
Lithobates_warszewitschii	0.11	1.695	11.493	0.044	4	2004
Pristimantis_caryophyllaceus	1.003	0.373	0	0	9	2004
Pristimantis_cerasinus	0.435	0.525	0.001	0	16	2004
Pristimantis_cruentus	17.491	0.983	0.094	0.033	130	2004
Pristimantis_gaigeae	0.017	0	0	0	1	2004
Pristimantis_museosus	0.349	0.644	1.061	0.005	26	2004
Pristimantis_pardalis	0.24	0	0	0	6	2004
Pristimantis_ridens	0.093	0.203	0	0	17	2004
Rhaebo_haematiticus	0.389	1.407	9.575	0.107	6	2004
Sachatamia_albomaculata	1.049	0.915	0.016	0	13	2004
Sachatamia_ilex	0.354	0.881	0.577	0.004	27	2004
Silverstoneia_flotator	0.805	1.186	0.257	0.005	10	2004
Silverstoneia_nubicola	0.212	1.525	0.242	0.002	40	2004
Smilisca_phaeota	0.125	0	0	0	1	2004
Strabomantis_bufoniformis	0.863	1.356	32.634	0.779	5	2004
Incilius_coniferus	1.009	0	0	0	1	2008
Cochranella_euknemos	0	1.351	5.491	0	2	2008
Espadarana_prosoblepon	6.505	1.081	0.63	0.148	5	2008
Hyalinobatrachium_colymbiphyllum	1.649	0	0	0	1	2008
Craugastor_crassidigitus	0.283	2.703	6.237	0.159	1	2008
Craugastor_gollmeri	0.583	1.811	5.604	0.197	3	2008
Craugastor_talamancae	4.665	0.892	3.252	0.451	3	2008
Silverstoneia_flotator	0.71	0	0	0	1	2008
Diasporus_diastema	3.08	1.351	0.133	0.018	2	2008
Pristimantis_caryophyllaceus	3.373	0	0	0	4	2008
Pristimantis_cerasinus	0.283	0.892	0.086	0.001	15	2008
Pristimantis_cruentus	16.024	0.676	0.018	0.007	4	2008
Pristimantis_gaigeae	0	0	0	0	1	2008
Pristimantis_pardalis	0.724	1.811	0.031	0.001	3	2008
Craugastor_crassidigitus	0.357	2	6.548	0.359	2	2010
Espadarana_prosoblepon	5.526	1.16	0.917	0.452	24	2010
Hyalinobatrachium_colymbiphyllum	0.178	4	0.118	0.006	1	2010
Hyloscirtus_palmeri	0.178	0	0	0	1	2010
Incilius_coniferus	0.535	0	0	0	3	2010
Pristimantis_cruentus	2.674	1.16	1	0.239	5	2010
Sachatamia_albomaculata	0.713	0	0	0	4	2010
