stage	surv	day	mo	month	yr	trans	SorT	AMorPM	pers	mins	mtrs	AmphibianCaps	AmphSpp	Aminper	Ametper	Density	Atelopus_zeteki	Espadarana_prosoblepon	Pristimantis_cruentus	SumofHosts
pre	59	2	0_Summer04	6	2004	Loop_Stream	S	A	3	128	200	99	1	0.2578125	0.165	0.165	0	0	0	0
pre	66	1	0_Summer04	7	2004	Loop_Stream	S	A	2	68	200	91	3	0.669117647	0.2275	0.2275	0	0.0025	0	0.0025
pre	68	1	0_Summer04	7	2004	Loop_Stream	S	P	2	112	200	31	11	0.138392857	0.0775	0.0775	0.005	0.0125	0.035	0.0525
epi	91	16	1_October	10	2004	Loop_Stream	S	P	2	188	200	30	7	0.079787234	0.075	0.075	0.0125	0.0225	0.0175	0.0525
epi	92	17	1_October	10	2004	Quebrada_Cascada	S	p	2	113	200	39	11	0.172566372	0.0975	0.0975	0.0025	0.0275	0.035	0.065
epi	93	18	1_October	10	2004	Quebrada_Cascada	S	A	1	68	200	11	2	0.161764706	0.055	0.055	0.01	0	0	0.01
epi	96	22	1_October	10	2004	Silenciosa	S	p	1	87	200	32	7	0.367816092	0.16	0.16	0.04	0.045	0.035	0.12
epi	100	25	1_October	10	2004	Loop_Stream	S	p	1	137	200	29	11	0.211678832	0.145	0.145	0.03	0.02	0.02	0.07
epi	101	26	1_October	10	2004	Silenciosa	S	P	1	139	200	25	8	0.179856115	0.125	0.125	0.035	0.015	0.02	0.07
epi	104	28	1_October	10	2004	Quebrada_Cascada	S	p	2	143	200	37	11	0.129370629	0.0925	0.0925	0.0125	0.015	0.02	0.0475
epi	105	29	1_October	10	2004	Guabal	S	p	2	172	200	36	9	0.104651163	0.09	0.09	0.0325	0.0025	0.0175	0.0525
epi	106	31	1_October	10	2004	Loop_Stream	S	A	2	85	200	9	5	0.052941176	0.0225	0.0225	0.0025	0	0	0.0025
epi	107	31	1_October	10	2004	Silenciosa	S	A	2	118	200	13	4	0.055084746	0.0325	0.0325	0.02	0	0	0.02
epi	108	2	2_November	11	2004	Loop_Stream	S	p	2	176	200	30	7	0.085227273	0.075	0.075	0.0175	0.0175	0.0175	0.0525
epi	109	3	2_November	11	2004	Loop_Stream	S	A	2	70	200	6	3	0.042857143	0.015	0.015	0.005	0	0	0.005
epi	110	3	2_November	11	2004	Silenciosa	S	P	2	129	200	18	5	0.069767442	0.045	0.045	0.0075	0.0025	0.01	0.02
epi	112	4	2_November	11	2004	Loop_Trail	T	P	2	172	360	29	12	0.084302326	0.040277778	0.040277778	0	0.001388889	0.008333333	0.009722222
epi	111	4	2_November	11	2004	Loop_Trail	T	A	2	60	200	7	3	0.058333333	0.0175	0.0175	0.005	0	0	0.005
epi	113	5	2_November	11	2004	Guabal	S	A	2	65	200	5	5	0.038461538	0.0125	0.0125	0.005	0	0	0.005
epi	115	5	2_November	11	2004	Quebrada_Cascada	S	p	2	119	200	27	7	0.113445378	0.0675	0.0675	0.01	0.025	0.015	0.05
epi	116	6	2_November	11	2004	Loop_Stream	S	A	1	77	200	4	2	0.051948052	0.02	0.02	0	0	0	0
epi	118	6	2_November	11	2004	Guabal	S	P	2	135	200	19	8	0.07037037	0.0475	0.0475	0.02	0	0.01	0.03
epi	120	7	2_November	11	2004	Quebrada_Cascada	S	A	2	59	200	8	6	0.06779661	0.02	0.02	0.0075	0	0.0025	0.01
epi	119	7	2_November	11	2004	Guabal	S	A	2	74	200	10	3	0.067567568	0.025	0.025	0.0175	0	0	0.0175
epi	121	7	2_November	11	2004	Main_Trail	T	P	2	220	400	40	15	0.090909091	0.05	0.05	0	0	0.01125	0.01125
epi	122	8	2_November	11	2004	Loop_Stream	S	A	2	62	200	9	4	0.072580645	0.0225	0.0225	0	0	0	0
epi	123	8	2_November	11	2004	Silenciosa	S	p	2	129	200	27	10	0.104651163	0.0675	0.0675	0.0075	0.0075	0.025	0.04
epi	125	9	2_November	11	2004	Silenciosa	S	A	2	53	200	7	4	0.066037736	0.0175	0.0175	0.01	0	0	0.01
epi	126	9	2_November	11	2004	Loop_Trail	T	p	2	135	200	23	9	0.085185185	0.0575	0.0575	0.01	0.015	0.0125	0.0375
epi	127	10	2_November	11	2004	Loop_Trail	T	P	2	123	400	18	8	0.073170732	0.0225	0.0225	0	0	0.0025	0.0025
epi	129	11	2_November	11	2004	Quebrada_Cascada	S	A	1	68	200	4	3	0.058823529	0.02	0.02	0.005	0	0	0.005
epi	128	11	2_November	11	2004	Guabal	S	A	2	50	200	3	1	0.03	0.0075	0.0075	0.0075	0	0	0.0075
epi	131	12	2_November	11	2004	Silenciosa	S	A	2	56	200	8	5	0.071428571	0.02	0.02	0.0075	0	0	0.0075
epi	133	12	2_November	11	2004	Quebrada_Cascada	S	p	2	116	200	31	9	0.13362069	0.0775	0.0775	0.0025	0.015	0.025	0.0425
epi	135	13	2_November	11	2004	Guabal	S	A	1	66	200	4	2	0.060606061	0.02	0.02	0.015	0	0	0.015
epi	136	13	2_November	11	2004	Main_Trail	T	P	2	138	400	13	8	0.047101449	0.01625	0.01625	0	0	0.00125	0.00125
epi	140	14	2_November	11	2004	Quebrada_Cascada	S	A	2	55	200	7	5	0.063636364	0.0175	0.0175	0.0025	0	0.0025	0.005
epi	141	14	2_November	11	2004	Silenciosa	S	p	2	137	200	18	8	0.065693431	0.045	0.045	0.015	0.005	0.01	0.03
epi	143	15	2_November	11	2004	Quebrada_Cascada	S	A	2	48	200	3	2	0.03125	0.0075	0.0075	0	0	0	0
epi	142	15	2_November	11	2004	Guabal	S	A	2	30	200	4	2	0.066666667	0.01	0.01	0.0075	0	0	0.0075
epi	144	15	2_November	11	2004	Loop_Stream	S	p	2	106	200	27	8	0.127358491	0.0675	0.0675	0.0025	0.0125	0.025	0.04
epi	145	17	2_November	11	2004	Loop_Trail	T	P	2	141	200	20	11	0.070921986	0.05	0.05	0	0	0.005	0.005
epi	147	18	2_November	11	2004	Loop_Stream	S	A	1	40	200	3	3	0.075	0.015	0.015	0	0	0	0
epi	146	18	2_November	11	2004	Silenciosa	S	A	2	53	200	9	4	0.08490566	0.0225	0.0225	0.0125	0	0.0025	0.015
