Month	Year	Time	Transect	Stream_Forest	Elevation	Location	Genus	Species	Family	Load	Level	Category	Persistence_afterEpizootic	Species_Name	Bd_presabs	Stage	Stage2	Development
November	2004	2_November	Yes	Trail	760	Verrugosa	Hylomantis	lemur	Hylidae	0	0_0	Extirpated	0	Hylomantis_lemur	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Trail	760	Verrugosa	Hylomantis	lemur	Hylidae	0	0_0	Extirpated	0	Hylomantis_lemur	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Trail	800	Main_Trail	Hylomantis	lemur	Hylidae	0	0_0	Extirpated	0	Hylomantis_lemur	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Trail	800	Main_Trail	Hylomantis	lemur	Hylidae	0	0_0	Extirpated	0	Hylomantis_lemur	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Trail	800	Main_Trail	Hylomantis	lemur	Hylidae	0	0_0	Extirpated	0	Hylomantis_lemur	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Trail	800	Main_Trail	Hylomantis	lemur	Hylidae	0	0_0	Extirpated	0	Hylomantis_lemur	0	Epizootic	1_Epizootic	AL
January	2005	4_January	Yes	Stream	680	Guabal	Hylomantis	lemur	Hylidae	0	0_0	Extirpated	0	Hylomantis_lemur	0	Epizootic	1_Epizootic	AL
June	2004	0_Summer	Yes	Stream	800	Loop_Stream	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Pre-Epizootic	1_Epizootic	AL
June	2004	0_Summer	Yes	Stream	800	Loop_Stream	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Pre-Epizootic	1_Epizootic	AL
June	2004	0_Summer	Yes	Stream	800	Loop_Stream	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Pre-Epizootic	1_Epizootic	AL
July	2004	0_Summer	Yes	Stream	800	Loop_Stream	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Pre-Epizootic	1_Epizootic	AL
October	2004	1_October	Yes	Stream	700	Silenciosa	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
October	2004	1_October	Yes	Stream	800	Loop_Stream	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Stream	680	Guabal	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Stream	680	Guabal	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Stream	700	Silenciosa	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Stream	700	Silenciosa	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Stream	700	Silenciosa	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Stream	700	Silenciosa	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Stream	725	Cascada	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Stream	725	Cascada	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
November	2004	2_November	Yes	Stream	725	Cascada	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
December	2004	3_December	Yes	Trail	760	Verrugosa	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
January	2005	4_January	Yes	Stream	680	Guabal	Atelopus	zeteki	Bufonidae	0	0_0	Critical	0	Atelopus_zeteki	0	Epizootic	1_Epizootic	AL
October	2004	1_October	Yes	Trail	750	Loop_Trail	Bolitoglossa	colonnea	Plethodontidae	0	0_0	Critical	0	Bolitoglossa_colonnea	0	Epizootic	1_Epizootic	DD
November	2004	2_November	Yes	Stream	680	Guabal	Bolitoglossa	schizodactyla	Plethodontidae	0	0_0	Declined	0	Bolitoglossa_schizodactyla	0	Epizootic	1_Epizootic	DD
November	2004	2_November	Yes	Stream	680	Guabal	Bolitoglossa	schizodactyla	Plethodontidae	0	0_0	Declined	0	Bolitoglossa_schizodactyla	0	Epizootic	1_Epizootic	DD
