	prev	zoosp	decline	weight	develop	stddensity	Survival	Survyesno	Survival2008	Survival2010	SurvivalAfter	zoosp2008	zoosp2010
Atelopus_zeteki	89	4206.17	1	160	AL	0.604491803	0	0	0	0	0	NA	NA
Bolitoglossa_colonnea	25	2.05	0.55	4	DD	0.016885246	0.45	1	0	0	0	NA	NA
Bolitoglossa_schizodactyla	34	12.83	0.72	47	DD	0.216131148	0.28	1	0	0	0	NA	NA
Cochranella_euknemos	50	0.67	0.91	4	AL	0.013508197	0.09	1	1	0	1	30.09	NA
Colostethus_panamansis	90	739.73	0.93	20	AL	0.050655738	0.07	1	0	0	0	NA	NA
Colostethus_pratti	50	0.83	0.83	2	AL	0.006754098	0.17	1	0	0	0	NA	NA
Craugastor_crassidigitus	38	26.07	0.22	55	DD	0.256655738	0.78	1	1	1	1	34.18	1063.39
Craugastor_gollmeri	25	11.57	0.4	8	DD	0.030393443	0.6	1	1	0	1	30.71	NA
Craugastor_noblei	50	0	0.67	2	DD	0.006754098	0.33	1	1	0	1	0.59	NA
Craugastor_talamancae	44	189.94	0.75	54	DD	NA	0.25	1	1	0	1	17.82	NA
Dendrobates_auratus	100	262.69	0.72	2	AL	0.013508197	0.28	1	1	0	1	0	NA
Diasporus_diastema	30	0.06	0.18	10	DD	0.077672131	0.82	1	1	0	1	0.73	NA
Diasporus_vocator	0	0	0.14	1	DD	NA	0.86	1	0	0	0	NA	NA
Espadarana_prosoblepon	48	138.88	0.89	109	AL	0.418754098	0.11	1	1	1	1	3.45	148.85
Gastrotheca_cornuta	100	39.56	0.99	2	AL	0.070918033	0.01	1	0	0	0	NA	NA
Hyalinobatrachium_colymbiphyllum	56	416.39	0.84	32	AL	0.236393443	0.16	1	1	1	1	0	19.12
Hylomantis_lemur	56	190.64	0.79	18	AL	0.037147541	0.21	1	0	0	0	NA	NA
Hyloscirtus_colymba	80	966.24	0.97	20	AL	0.209377049	0.03	1	0	0	0	NA	NA
Hyloscirtus_palmeri	74	294.08	0.99	19	AL	0.104688525	0.01	1	0	1	1	NA	0
Incilius_coniferus	0	0	0.73	4	AL	NA	0.27	1	1	1	1	0	0
Leptodactylus_pentadactylus	100	64771.11	1	1	DD	NA	0	0	0	0	0	NA	NA
Lithobates_warszewitschii	100	14528.75	0.69	4	AL	0.016885246	0.31	1	0	0	0	NA	NA
Nelsonophryne_aterrima	100	1721.73	0.93	2	AL	0.003377049	0.07	1	0	0	0	NA	NA
Pristimantis_caryophyllaceus	22	0.12	0.29	9	DD	0.043901639	0.71	1	1	0	1	0	NA
Pristimantis_cerasinus	31	1.58	0.36	16	DD	0.070918033	0.64	1	1	0	1	0.47	NA
Pristimantis_cruentus	58	118.77	0.37	130	DD	0.526819672	0.63	1	1	1	1	0.1	155.87
Pristimantis_gaigeae	0	0	0.55	1	DD	0.003377049	0.45	1	1	0	1	0	NA
Pristimantis_pardalis	0	0	0.18	6	DD	0.023639344	0.82	1	1	0	1	0.17	NA
Pristimantis_ridens	12	0.07	0.21	17	DD	0.091180328	0.79	1	0	0	0	NA	NA
Rhaebo_haematiticus	83	12103.23	0.98	6	AL	0.013508197	0.02	1	0	0	0	NA	NA
Rhinella_marina	0	0	0.15	1	AL	0.003377049	0.85	1	1	0	1	0	NA
Sachatamia_albomaculata	54	20.78	0.87	13	AL	0.077672131	0.13	1	0	1	1	NA	0
Sachatamia_ilex	52	728.78	0.92	27	AL	0.087803279	0.08	1	0	0	0	NA	NA
Silverstoneia_flotator	70	324.83	0.64	10	AL	0.08104918	0.36	1	1	0	1	0	NA
Silverstoneia_nubicola	90	306.54	0.89	40	AL	0.151967213	0.11	1	0	0	0	NA	NA
Smilisca_phaeota	0	0	0.44	1	AL	0.003377049	0.56	1	0	0	0	NA	NA
Strabomantis_bufoniformis	80	41253.08	0.99	5	DD	0.016885246	0.01	1	0	0	0	NA	NA
